"","Time","AgeGrpStart","ISO3_code","PopTotal"
"597",2024,40,"ETH",5760.023
"598",2024,45,"ETH",4679.828
"599",2024,50,"ETH",3808.899
"600",2024,55,"ETH",3091.029
"601",2024,60,"ETH",2378.166
"602",2024,65,"ETH",1655.85
"603",2024,70,"ETH",1160.345
"604",2024,75,"ETH",736.701
"605",2024,80,"ETH",355.983
"606",2024,85,"ETH",123.451
"607",2024,90,"ETH",27.812
"608",2024,95,"ETH",3.489
"609",2024,100,"ETH",0.232
"610",2024,0,"KEN",7078.491
"611",2024,5,"KEN",6743.956
"612",2024,10,"KEN",6724.949
"613",2024,15,"KEN",6420.304
"614",2024,20,"KEN",5463.092
"615",2024,25,"KEN",4571.54
"616",2024,30,"KEN",4045.72
"617",2024,35,"KEN",3590.793
"618",2024,40,"KEN",2910.323
"619",2024,45,"KEN",2290.095
"620",2024,50,"KEN",1805.189
"621",2024,55,"KEN",1381.796
"622",2024,60,"KEN",990.18
"623",2024,65,"KEN",658.882
"624",2024,70,"KEN",416.382
"625",2024,75,"KEN",277.014
"626",2024,80,"KEN",154.529
"627",2024,85,"KEN",79.086
"628",2024,90,"KEN",31.607
"629",2024,95,"KEN",9.407
"630",2024,100,"KEN",2.743
"631",2024,0,"MDG",4305.7
"632",2024,5,"MDG",3911.806
"633",2024,10,"MDG",3616.37
"634",2024,15,"MDG",3283.051
"635",2024,20,"MDG",2889.737
"636",2024,25,"MDG",2579.233
"637",2024,30,"MDG",2132.163
"638",2024,35,"MDG",1723.435
"639",2024,40,"MDG",1455.764
"640",2024,45,"MDG",1268.199
"641",2024,50,"MDG",1050.772
"642",2024,55,"MDG",797.945
"643",2024,60,"MDG",619.586
"644",2024,65,"MDG",463.655
"645",2024,70,"MDG",317.994
"646",2024,75,"MDG",154.999
"647",2024,80,"MDG",77.875
"648",2024,85,"MDG",30.924
"649",2024,90,"MDG",7.825
"650",2024,95,"MDG",1.021
"651",2024,100,"MDG",0.065
"652",2024,0,"MWI",3168.737
"653",2024,5,"MWI",2904.119
"654",2024,10,"MWI",2784.336
"655",2024,15,"MWI",2552.951
"656",2024,20,"MWI",2083.982
"657",2024,25,"MWI",1677.428
"658",2024,30,"MWI",1389.515
"659",2024,35,"MWI",1204.789
"660",2024,40,"MWI",1047.067
"661",2024,45,"MWI",738.758
"662",2024,50,"MWI",488.01
"663",2024,55,"MWI",359.668
"664",2024,60,"MWI",266.79
"665",2024,65,"MWI",181.46
"666",2024,70,"MWI",131.513
"667",2024,75,"MWI",107.607
"668",2024,80,"MWI",65.451
"669",2024,85,"MWI",31.373
"670",2024,90,"MWI",11.695
"671",2024,95,"MWI",3.208
"672",2024,100,"MWI",0.655
"673",2024,0,"MUS",65.681
"674",2024,5,"MUS",66.714
"675",2024,10,"MUS",74.172
"676",2024,15,"MUS",88.429
"677",2024,20,"MUS",96.13
"678",2024,25,"MUS",95.771
"679",2024,30,"MUS",100.07
"680",2024,35,"MUS",88.08
"681",2024,40,"MUS",98.521
"682",2024,45,"MUS",95.093
"683",2024,50,"MUS",82.285
"684",2024,55,"MUS",89.708
"685",2024,60,"MUS",84.067
"686",2024,65,"MUS",67.628
"687",2024,70,"MUS",51.143
"688",2024,75,"MUS",29.528
"689",2024,80,"MUS",15.794
"690",2024,85,"MUS",8.427
"691",2024,90,"MUS",3.158
"692",2024,95,"MUS",0.807
"693",2024,100,"MUS",0.104
"694",2024,0,"MYT",53.65
"695",2024,5,"MYT",51.909
"696",2024,10,"MYT",42.765
"697",2024,15,"MYT",36.583
"698",2024,20,"MYT",24.897
"699",2024,25,"MYT",20.706
"700",2024,30,"MYT",23.161
"701",2024,35,"MYT",19.385
"702",2024,40,"MYT",16.701
"703",2024,45,"MYT",14.344
"704",2024,50,"MYT",11.79
"705",2024,55,"MYT",8.622
"706",2024,60,"MYT",6.236
"707",2024,65,"MYT",4.236
"708",2024,70,"MYT",2.967
"709",2024,75,"MYT",1.59
"710",2024,80,"MYT",0.855
"711",2024,85,"MYT",0.415
"712",2024,90,"MYT",0.15
"713",2024,95,"MYT",0.03
"714",2024,100,"MYT",0.002
"715",2024,0,"MOZ",5518.462
"716",2024,5,"MOZ",4896.205
"717",2024,10,"MOZ",4419.116
"718",2024,15,"MOZ",3732.115
"719",2024,20,"MOZ",3233.362
"720",2024,25,"MOZ",2709.748
"721",2024,30,"MOZ",2249.826
"722",2024,35,"MOZ",1832.48
"723",2024,40,"MOZ",1450.756
"724",2024,45,"MOZ",1217.045
"725",2024,50,"MOZ",977.808
"726",2024,55,"MOZ",706.933
"727",2024,60,"MOZ",542.785
"728",2024,65,"MOZ",403.055
"729",2024,70,"MOZ",260.765
"730",2024,75,"MOZ",139.212
"731",2024,80,"MOZ",61.329
"732",2024,85,"MOZ",18.594
"733",2024,90,"MOZ",3.93
"734",2024,95,"MOZ",0.526
"735",2024,100,"MOZ",0.037
"736",2024,0,"REU",69.96
"737",2024,5,"REU",74.295
"738",2024,10,"REU",75.803
"739",2024,15,"REU",75.984
"740",2024,20,"REU",75.057
